    
 Bangalore       | Anekal        | Hennagara        |323| Rajapura
 Chikballapur    | Gauribidnur   | Manchenahalli    |298| G.H.P.S.Minakanagurki
 Ramnagara      | Kanakapura    | Erandyapanahalli |38| G.H.P.S. Aregadakalu
 Ramnagara      | Kanakapura    | Kaggalahalli     |80| G.H.P.S. Kaggalahalli
 Ramnagara      | Kanakapura    | Shivanahalli     |22| G.H.P.S. Halugondanahalli
 Dharwad         | Kalghatgi     | Hulkoppa         |483| G.H.P.S.G-Hulakappa
 Dharwad         | Kalghatgi     | Kalghatgi        |494| G.H.P.S.Kalghatgi(KBS)
 Davanagere      | Harapanahalli | Arasikare        |558| G.H.P.S.Toudur Tanda
 Dharwad         | Kalghatgi     | Devikoppa        |178| G.H.P.S. Shinganalli
 Dharwad         | Kalghatgi     | T-Honnalli       |169| G.H.P.S. Solaragoppa
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |53| G.H.P.S. Chikkenahalli
 Bangalore Rural | Hoskote       | Hosakote         |235| G.H.P.S.Doddagattiganabbe
 Dharwad         | Kalghatgi     | Mukkal           |139| G.H.P.S. Nelliharavi
 Bangalore Rural | Hoskote       | Sulibele         |262| G.H.P.S.Janata Colony Sulibele
 Bangalore       | Anekal        | Bannerghatta     |308| G.H.P.S.Saklwara
 Bangalore Rural | Hoskote       | Hosakote         |234| G.H.P.S.V V Extenion 
 Ramnagara      | Kanakapura    | Kodihalli        |21| G.H.P.S. Doddakabbahalli
 Dharwad         | Kalghatgi     | Mukkal           |474| G.H.P.S.Thavarageri
 Ramnagara      | Kanakapura    | Banavasi         |86| G.H.P.S. Karikaldoddi Gate
 Bangalore Rural | Hoskote       | Jadigenahalli    |213| G.H.P.S.Soluru
 Dharwad         | Kalghatgi     | Kudalagi         |154| G.H.P.S. Kudalagi
 Ramnagara      | Kanakapura    | Kanakapura Town  |83| G.H.P.S. Kanakapura - 02
 Bangalore Rural | Hoskote       | Tavarekere       |444| G.H.P.S.Tavarekere
 Dharwad         | Kalghatgi     | T-Honnalli       |167| G.H.P.S. B-Hulikatti
 Davanagere      | Harapanahalli | Arasikare        |570| G.H.P.S.Nichavvanahalli
 Ramnagara      | Kanakapura    | Kanakapura Town  |11| G.H.P.S. K.P.L. Colony
 Chikballapur    | Gauribidnur   | Thondebhavi      |290| G.H.P.S.Belchukkanahalli
 Dharwad         | Kalghatgi     | Dhummavada       |540| G.H.S.Hirehonnalli
 Bangalore Rural | Hoskote       | Sulibele         |258| G.H.P.S.Bettahalli
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |52| G.H.P.S. Chikkamuduvadi
 Bangalore       | Anekal        | Harapanahalli    |328| Konasandra
 Chikballapur    | Chikballapur  | Chikballapur     |1055| Old Middle School
 Ramnagara      | Kanakapura    | Kodihalli        |105| G.H.P.S. Salabanni
 Bangalore Rural | Hoskote       | Sulibele         |254| G.H.P.S.Arasanahalli
 Chikballapur    | Gauribidnur   | Halehalli        |283| G.H.P.S.Honnapanahalli
 Chikballapur    | Chikballapur  | Nandi            |276| G.H.P.S.Nandi
 Ramnagara      | Kanakapura    | Athihalli        |54| G.H.P.S. Dhalimba
 Ramnagara      | Kanakapura    | Maralavadi       |112| G.H.P.S. Therubeedi
 Bangalore Rural | Hoskote       | Nelavagilu       |458| G.H.P.S.Karahalli
 Bangalore South | Domlur        | Domluru          |579| G.H.P.S.Jogu Palya(Urdu)
 Davanagere      | Harapanahalli | Harapanahalli    |569| G.H.P.S.9th Vard Hphalli
 Davanagere      | Harapanahalli | Matthihalli      |561| G.H.P.S.Sasvihalli
 Ramnagara      | Kanakapura    | Banavasi         |65| G.H.P.S. Goduru
 Ramnagara      | Kanakapura    | Hegganuru        |8| G.H.P.S. Haroshivanahalli
 Dharwad         | Kalghatgi     | Dhummavada       |182| G.H.P.S. Dhummavada (KGS)  
 Ramnagara      | Kanakapura    | Hukunda          |28| G.H.P.S. Kotekoppa
 Ramnagara      | Kanakapura    | Kanakapura Town  |39| G.H.P.S. Ambedkar Nagara
 Ramnagara      | Kanakapura    | Thungani         |36| G.H.P.S. Thungani
 Bangalore Rural | Hoskote       | Hosakote         |236| G.H.P.S.Chikkagattiganabbe
 Chikballapur    | Chikballapur  | Thippenahalli    |297| G.H.P.S.Tippenahalli
 Bangalore Rural | Hoskote       | Begur            |217| G.H.P.S.Sompura
 Bangalore       | Anekal        | Haragadde        |310| Harugadde
 Dharwad         | Kalghatgi     | Muthagi          |489| G.H.P.S.Bisaralli
 Bangalore       | Anekal        | Haragadde        |313| Lingapura
 Ramnagara      | Kanakapura    | Doddamuduvadi    |55| G.H.P.S. Doddakalbalu
 Ramnagara      | Kanakapura    | Hegganuru        |15| G.H.P.S. Uyyambahalli
 Bangalore Rural | Hoskote       | Shivanapura      |259| G.H.P.S.Shivanapura
 Ramnagara      | Kanakapura    | Maralebekuppe    |31| G.H.P.S. Mullahalli
 Dharwad         | Kalghatgi     | T-Honnalli       |168| G.H.P.S. Parasapur
 Ramnagara      | Kanakapura    | Erandyapanahalli |70| G.H.P.S. Halasuru
 Bangalore Rural | Hoskote       | Tavarekere       |451| G.H.P.S.Valagerepura
 Chikballapur    | Gauribidnur   | Thondebhavi      |288| G.H.P.S.Thippaganahalli
 Davanagere      | Harapanahalli | Ucchangidurga    |556| G.H.P.S.Bevinahalli D Tanda
 Dharwad         | Kalghatgi     | Dhummavada       |183| G.H.P.S. Jodihalli
 Bangalore Rural | Hoskote       | Hosakote         |233| G.H.P.S.Kurubarapete
 Chikballapur    | Chikballapur  | Poshettihalli    |295| G.H.P.S.Poshettihalli
 Dharwad         | Kalghatgi     | Ganjigatti       |162| G.H.P.S. Suthagatti
 Dharwad         | Kalghatgi     | Devikoppa        |177| G.H.P.S. Thambur
 Bangalore Rural | Hoskote       | Devanagundi      |191| G.H.P.S.Anugondanahalli
 Dharwad         | Kalghatgi     | Muthagi          |147| G.H.P.S. Hullambi
 Ramnagara      | Kanakapura    | Sathanuru        |16| G.H.P.S. Acchalu
 Bangalore Rural | Hoskote       | Samethanahalli   |204| G.H.P.S.K Mallsandra
 Ramnagara      | Kanakapura    | Kanakapura Town  |45| G.H.P.S. Baradanahalli
 Dharwad         | Kalghatgi     | Dhummavada       |524| G.H.P.S.Kuruvinakoppa
 Ramnagara      | Kanakapura    | Kodihalli        |89| G.H.P.S. Kodihalli
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |95| G.H.P.S. Kothunuru
 Ramnagara      | Kanakapura    | Halasuru         |49| G.H.P.S. Boohalli
 Dharwad         | Kalghatgi     | Mishrikoti       |132| G.H.P.S. Harogeri
 Ramnagara      | Kanakapura    | Erandyapanahalli |114| G.H.P.S. Thippuru
 Dharwad         | Kalghatgi     | Mishrikoti       |133| G.H.P.S. Kamadhenu
 Bangalore       | Anekal        | Bannerghatta     |305| G.H.P.S.Begihalli
 Ramnagara      | Kanakapura    | Doddamuduvadi    |51| G.H.P.S. Chikkalbalu
 Chikballapur    | Gauribidnur   | Thondebhavi      |291| G.H.P.S.Indiranagara
 Bangalore Rural | Hoskote       | Devanagundi      |189| G.H.P.S.D Hosahalli
 Chikballapur    | Gauribidnur   | Alakapura        |287| G.H.P.S.Bisalahalli
 Dharwad         | Kalghatgi     | Dhummavada       |517| G.H.P.S.Hirehonnalli(KGS)
 Dharwad         | Kalghatgi     | Mishrikoti       |467| G.H.P.S.MishrikotiJP
 Bangalore Rural | Hoskote       | Bendiganahalli   |249| G.H.P.S.Doddaralagere
 Chikballapur    | Chikballapur  | Nayanahalli      |278| G.H.P.S.Patrenahalli
 Ramnagara      | Kanakapura    | Kanakapura Town  |84| G.H.P.S. Kanakapura - G.G.M.S
 Dharwad         | Kalghatgi     | Dhummavada       |184| G.H.P.S. Jammihala
 Dharwad         | Kalghatgi     | Mukkal           |140| G.H.P.S. Aladakatti
 Bangalore Rural | Hoskote       | Shivanapura      |442| G.H.P.S.K Satyavara
 Ramnagara      | Kanakapura    | Athihalli        |77| G.H.P.S. Kabbalu
 Bangalore       | Anekal        | Hennagara        |321| Koppa 
 Davanagere      | Harapanahalli | Kanchikare       |546| G.H.P.S.Hallikere
 Dharwad         | Kalghatgi     | Devikoppa        |180| G.H.P.S. Junjunbail 
 Bangalore Rural | Hoskote       | Sulibele         |257| G.H.P.S.Yenagunte
 Bangalore Rural | Hoskote       | Tavarekere       |448| G.H.P.S.Chikkanallala
 Bangalore Rural | Hoskote       | Begur            |219| G.H.P.S.E Muttasandra
 Bangalore Rural | Hoskote       | Nelavagilu       |453| G.H.P.S.Dalasagere
 Bangalore       | Anekal        | Hennagara        |322| Bingipura
 Bangalore Rural | Hoskote       | Nelavagilu       |456| G.H.P.S.Korate
 Dharwad         | Kalghatgi     | T-Honnalli       |171| G.H.P.S. Malakanakoppa
 Bangalore South | Domlur        | Domluru          |577| G.H.P.S.Appareddypalya
 Dharwad         | Kalghatgi     | Dhummavada       |187| G.H.P.S. B-Gudihal
 Davanagere      | Harapanahalli | Gundagatti       |555| G.H.P.S.Sevanagar
 Ramnagara      | Kanakapura    | Hegganuru        |60| G.H.P.S. Elagahalli
 Dharwad         | Kalghatgi     | T-Honnalli       |506| G.H.P.S.Birvalli
 Ramnagara      | Kanakapura    | Hunasanahalli    |17| G.H.P.S. Alanatha
 Dharwad         | Kalghatgi     | T-Honnalli       |170| G.H.P.S. Jinnur
 Chikballapur    | Chikballapur  | Nandi            |272| G.H.P.S.Kuduvathi
 Dharwad         | Kalghatgi     | Dastikoppa       |469| G.H.P.S.Dastikoppa
 Dharwad         | Kalghatgi     | T-Honnalli       |173| G.H.P.S. Asthakatti
 Ramnagara      | Kanakapura    | Anedoddi         |100| G.H.P.S. Medamaranahalli
 Ramnagara      | Kanakapura    | Kanakapura Town  |40| G.H.P.S. Anamanahalli
 Bangalore Rural | Hoskote       | Hosakote         |237| G.H.P.S.Kannurahalli
 Chikballapur    | Chikballapur  | Chikballapur     |269| G.H.P.S.Kandhawara
 Ramnagara      | Kanakapura    | Anedoddi         |92| G.H.P.S. Kolliganahalli
 Ramnagara      | Kanakapura    | Narayanapura     |67| G.H.P.S. Gowdahalli
 Ramnagara      | Kanakapura    | Erandyapanahalli |91| G.H.P.S. Kolagondanahalli
 Bangalore Rural | Hoskote       | Sulibele         |256| G.H.P.S.Attubele
 Davanagere      | Harapanahalli | Goverhalli       |545| G.H.P.S.Uddatti Tanda
 Davanagere      | Harapanahalli | Haluvagalu       |549| G.H.P.S.Garbhagudi
 Bangalore Rural | Hoskote       | Nelavagilu       |457| G.H.P.S.Hedakanahalli
 Bangalore Rural | Hoskote       | Hosakote         |238| G.H.P.S.Dandipalya
 Bangalore Rural | Hoskote       | Jadigenahalli    |210| G.H.P.S.Chikkataggi
 Bangalore Rural | Hoskote       | Vagata           |230| G.H.P.S.Makanahalli
 Ramnagara      | Kanakapura    | Banavasi         |123| G.H.P.S. Atthikuppe
 Chikballapur    | Gauribidnur   | Thondebhavi      |299| G.H.P.S.Kalnayakanahalli
 Dharwad         | Kalghatgi     | Mishrikoti       |130| G.H.P.S. Chalamatti
 Dharwad         | Kalghatgi     | T-Honnalli       |505| G.H.P.S.T-Honnalli
 Bangalore Rural | Hoskote       | Shivanapura      |438| G.H.P.S.Needagatta
 Ramnagara      | Kanakapura    | Doddamuduvadi    |57| G.H.P.S. Doddamuduvadi
 Ramnagara      | Kanakapura    | Kaggalahalli     |117| G.H.P.S. Vaderahalli
 Bangalore Rural | Hoskote       | Shivanapura      |440| G.H.P.S.Maliyappanahalli
 Dharwad         | Kalghatgi     | Ganjigatti       |503| G.H.P.S.Ganjjigatti
 Ramnagara      | Kanakapura    | Shivanahalli     |1| G.H.P.S. Aralalu
 Davanagere      | Harapanahalli | Arasikare        |559| G.H.P.S.Komaranahalli
 Bangalore Rural | Hoskote       | Alappanahalli    |241| G.H.P.S.Hasigala
 Ramnagara      | Kanakapura    | Cheeluru         |110| G.H.P.S. T. Bannikuppe
